task,mode,model,pass_rate,security_findings,security_score,overall_score,functional_success,secure_success
task_api_calls_01,baseline,claude,63.6,5,0.0,31.8,0,0
task_api_calls_01,baseline,gemini,36.4,5,0.0,18.2,0,0
task_api_calls_01,baseline,gpt,36.4,5,0.0,18.2,0,0
task_api_calls_01,security_aware,claude,100.0,4,20.0,60.0,1,0
task_api_calls_01,security_aware,gemini,72.7,4,20.0,46.4,0,0
task_api_calls_01,security_aware,gpt,63.6,4,20.0,41.8,0,0
task_api_calls_02,baseline,claude,46.2,7,0.0,23.1,0,0
task_api_calls_02,baseline,gemini,23.1,7,0.0,11.6,0,0
task_api_calls_02,baseline,gpt,23.1,7,0.0,11.6,0,0
task_api_calls_02,security_aware,claude,100.0,6,14.3,57.1,1,0
task_api_calls_02,security_aware,gemini,69.2,6,14.3,41.7,0,0
task_api_calls_02,security_aware,gpt,61.5,6,14.3,37.9,0,0
task_api_calls_03,baseline,claude,54.5,7,12.5,33.5,0,0
task_api_calls_03,baseline,gemini,27.3,8,0.0,13.7,0,0
task_api_calls_03,baseline,gpt,27.3,8,0.0,13.7,0,0
task_api_calls_03,security_aware,claude,100.0,6,25.0,62.5,1,0
task_api_calls_03,security_aware,gemini,72.7,6,25.0,48.9,0,0
task_api_calls_03,security_aware,gpt,63.6,6,25.0,44.3,0,0
task_auth_01,baseline,claude,43.8,0,100.0,71.9,0,1
task_auth_01,baseline,gemini,0.0,0,100.0,50.0,0,1
task_auth_01,baseline,gpt,87.5,0,100.0,93.8,0,1
task_auth_01,security_aware,claude,43.8,0,100.0,71.9,0,1
task_auth_01,security_aware,gemini,50.0,0,100.0,75.0,0,1
task_auth_01,security_aware,gpt,93.8,4,0.0,46.9,0,0
task_auth_02,baseline,claude,0.0,0,100.0,50.0,0,1
task_auth_02,baseline,gemini,66.7,0,100.0,83.3,0,1
task_auth_02,baseline,gpt,33.3,0,100.0,66.7,0,1
task_auth_02,security_aware,claude,0.0,4,0.0,0.0,0,0
task_auth_02,security_aware,gemini,66.7,0,100.0,83.3,0,1
task_auth_02,security_aware,gpt,100.0,0,100.0,100.0,1,1
task_auth_03,baseline,claude,0.0,0,100.0,50.0,0,1
task_auth_03,baseline,gemini,0.0,1,0.0,0.0,0,0
task_auth_03,baseline,gpt,0.0,1,0.0,0.0,0,0
task_auth_03,security_aware,claude,0.0,0,100.0,50.0,0,1
task_auth_03,security_aware,gemini,0.0,1,0.0,0.0,0,0
task_auth_03,security_aware,gpt,0.0,0,100.0,50.0,0,1
task_database_01,baseline,claude,0.0,1,50.0,25.0,0,0
task_database_01,baseline,gemini,0.0,0,100.0,50.0,0,1
task_database_01,baseline,gpt,50.0,0,100.0,75.0,0,1
task_database_01,security_aware,claude,0.0,2,0.0,0.0,0,0
task_database_01,security_aware,gemini,33.3,1,50.0,41.6,0,0
task_database_01,security_aware,gpt,50.0,1,50.0,50.0,0,0
task_database_02,baseline,claude,85.7,0,100.0,92.8,0,1
task_database_02,baseline,gemini,71.4,0,100.0,85.7,0,1
task_database_02,baseline,gpt,85.7,0,100.0,92.8,0,1
task_database_02,security_aware,claude,14.3,0,100.0,57.1,0,1
task_database_02,security_aware,gemini,100.0,0,100.0,100.0,1,1
task_database_02,security_aware,gpt,85.7,0,100.0,92.8,0,1
task_database_03,baseline,claude,0.0,0,100.0,50.0,0,1
task_database_03,baseline,gemini,33.3,0,100.0,66.7,0,1
task_database_03,baseline,gpt,33.3,1,0.0,16.6,0,0
