task,mode,model,pass_rate,security_findings,vulnerability_density,security_score,overall_score,functional_success,secure_success
task_api_calls_01,baseline,claude,63.6,5,83.3333,0.0,31.8,0,0
task_api_calls_01,baseline,gemini,36.4,5,16.6667,0.0,18.2,0,0
task_api_calls_01,baseline,gpt,36.4,5,27.7778,0.0,18.2,0,0
task_api_calls_01,security_aware,claude,100.0,4,36.3636,20.0,60.0,1,0
task_api_calls_01,security_aware,gemini,72.7,4,13.7931,20.0,46.4,0,0
task_api_calls_01,security_aware,gpt,63.6,4,10.0,20.0,41.8,0,0
task_api_calls_02,baseline,claude,46.2,7,63.6364,0.0,23.1,0,0
task_api_calls_02,baseline,gemini,23.1,7,19.4444,0.0,11.6,0,0
task_api_calls_02,baseline,gpt,23.1,7,22.5806,0.0,11.6,0,0
task_api_calls_02,security_aware,claude,100.0,6,40.0,14.3,57.1,1,0
task_api_calls_02,security_aware,gemini,69.2,6,16.6667,14.3,41.7,0,0
task_api_calls_02,security_aware,gpt,61.5,6,13.3333,14.3,37.9,0,0
task_api_calls_03,baseline,claude,54.5,7,77.7778,12.5,33.5,0,0
task_api_calls_03,baseline,gemini,27.3,8,21.0526,0.0,13.7,0,0
task_api_calls_03,baseline,gpt,27.3,8,28.5714,0.0,13.7,0,0
task_api_calls_03,security_aware,claude,100.0,6,42.8571,25.0,62.5,1,0
task_api_calls_03,security_aware,gemini,72.7,6,16.6667,25.0,48.9,0,0
task_api_calls_03,security_aware,gpt,63.6,6,13.0435,25.0,44.3,0,0
task_auth_01,baseline,claude,0.0,0,0.0,100.0,50.0,0,1
task_auth_01,baseline,gemini,46.2,1,2.3256,0.0,23.1,0,0
task_auth_01,baseline,gpt,0.0,0,0.0,100.0,50.0,0,1
task_auth_01,security_aware,claude,0.0,1,0.9615,0.0,0.0,0,0
task_auth_01,security_aware,gemini,0.0,1,2.439,0.0,0.0,0,0
task_auth_01,security_aware,gpt,0.0,0,0.0,100.0,50.0,0,1
task_auth_02,baseline,claude,0.0,0,0.0,100.0,50.0,0,1
task_auth_02,baseline,gemini,100.0,0,0.0,100.0,100.0,1,1
task_auth_02,baseline,gpt,0.0,0,0.0,100.0,50.0,0,1
task_auth_02,security_aware,claude,0.0,4,4.5977,0.0,0.0,0,0
task_auth_02,security_aware,gemini,25.0,0,0.0,100.0,62.5,0,1
task_auth_02,security_aware,gpt,16.7,0,0.0,100.0,58.4,0,1
task_auth_03,baseline,claude,0.0,0,0.0,100.0,50.0,0,1
task_auth_03,baseline,gemini,0.0,1,2.8571,0.0,0.0,0,0
task_auth_03,baseline,gpt,0.0,1,4.5455,0.0,0.0,0,0
task_auth_03,security_aware,claude,0.0,0,0.0,100.0,50.0,0,1
task_auth_03,security_aware,gemini,0.0,1,2.1277,0.0,0.0,0,0
task_auth_03,security_aware,gpt,0.0,0,0.0,100.0,50.0,0,1
task_database_01,baseline,claude,0.0,3,1.3274,62.5,31.2,0,0
task_database_01,baseline,gemini,0.0,1,2.0,87.5,43.8,0,0
task_database_01,baseline,gpt,50.0,7,9.589,12.5,31.2,0,0
task_database_01,security_aware,claude,0.0,8,5.298,0.0,0.0,0,0
task_database_01,security_aware,gemini,33.3,6,10.1695,25.0,29.1,0,0
task_database_01,security_aware,gpt,50.0,8,9.6386,0.0,25.0,0,0
task_database_02,baseline,claude,85.7,3,2.1898,40.0,62.9,0,0
task_database_02,baseline,gemini,71.4,3,8.3333,40.0,55.7,0,0
task_database_02,baseline,gpt,85.7,2,4.7619,60.0,72.8,0,0
